name,category,address,locality,pincode,lat,lng,phone,email,website,google_rating,review_count,first_review_year,size_proxy,owner_or_chain,standalone_building,amenity_power_backup,maintenance_rate,outage_keyword_hits,outage_quotes,solar_visible,fm_company,rera_id,source_urls,corridor,icp,score,tier
Baby Bloom Multispecialty Hospital,hospital,,"Bisrakh, Greater Noida (Greater Noida West)",,,,0120-6545100 / +91-9045498589,babybloomhospital@gmail.com,https://babybloomhospital.com/,,,,40 beds,owner,,,,,,,,,https://babybloomhospital.com/ | https://www.practo.com/greater-noida/clinic/baby-bloom-hospital-bisrakh,gn_west,commercial,85,A
Gupta Hospital & Maternity Centre,maternity centre,"Khora Colony, Near 21 Number Water Tank, Opposite NIB Hospital, Sector 62A, Noida, Uttar Pradesh, 201309","Sector 62, Noida",201309,,,09718278444,,https://guptahospitalnoida.com/,4.0,182,,30 beds,owner,y,,,0,,,,,https://www.justdial.com/Noida/Gupta-Hospital-Maternity-Centre-Near-21-Number-Water-Tank-And-Opposite-Nib-Hospital-Noida-Sector-62/011PXX11-XX11-140602133805-Y7P5_BZDET | https://guptahospitalnoida.com/best-maternity-center-in-noida-sector-62/ | https://guptahospitalnoida.com/,noida,commercial,85,A
J S Hospital,hospital,"Near Step By Step School, Opposite A-10, Sector 135, Noida, Uttar Pradesh, 201304","Sector 135, Noida",201304,,,,,,3.54,,,100 beds,owner,y,,,0,,,,,http://www.mouthshut.com/product-reviews/j-s-hospital-sector-135-noida-reviews-925860700 | https://www.clinicspots.com/hospital/j-s-hospital,noida,commercial,85,A
Swastham Medicare Hospital,hospital,"Plot-107, Itera, Opposite Fusion Homes, Tech Zone 4, Greater Noida West - 201009","Tech Zone 4, Greater Noida West",201009,,,+91-9717705323,swasthamedicaregn@gmail.com,https://www.swasthamedicare.com/,,,,50 beds,owner,,,,,,,,,https://swasthamedicare.com/about-us/ | https://www.swasthamedicare.com/contact-us/ | https://www.swasthamedicare.com/best-hospital-in-tech-zone-4/,gn_west,commercial,85,A
Tripathi Hospital,hospital,"NH-1A, Opposite Udgam Pre School, Sector 119, Noida, Uttar Pradesh, 201304","Sector 119, Noida",201304,,,,,,3.5,331,,100 beds,owner,y,,,0,,,,,https://www.justdial.com/Noida/Tripathi-Hospital-Opposite-To-Udgam-Pre-School-Near-Amrapali-Zodiac-Noida-Sector-119/011PXX11-XX11-180125144734-U9W2_BZDET | https://www.mouthshut.com/product-reviews/tripathi-hospital-sector-119-noida-reviews-925860715,noida,commercial,85,A
ARS Vespa Aprilia,two_wheeler_dealership_showroom,"D-7, Sector 63, Noida, Uttar Pradesh 201301",Sector 63,201301,,,7669990975,sales.ars@piaggio2wstore.in,https://www.facebook.com/ARSVESPAAPRILIA/,4.7,55,2022,"Piaggio Vespa + Aprilia scooter/motorcycle showroom, established 2022",owner,y,,,0,,,,,https://www.justdial.com/Noida/Vespa-Aprilia-Dealers-Ars-Noida-Sector-63/011PXX11-XX11-220712214152-C9R2_BZDET | https://www.facebook.com/ARSVESPAAPRILIA/,noida,commercial,82,A
ASB Kia Showroom,auto_dealership,"Industrial Area, Meerut Road & National Highway 58, Raj Nagar Extension, Ghaziabad-201017",Raj Nagar Extension,201017,,,,,,4.2,1113,,,owner,,,,,,,,,https://www.justdial.com/Ghaziabad/Kia-Showroom-Raj-Nagar-Extension-Ghaziabad/011PXX11-XX11-200926173040-Y5N2_BZDET,ghaziabad,commercial,82,A
Bajaj Showroom - Sector 19,two-wheeler dealership & service workshop,"Plot No 3 16/5, Mathura Rd, near Old, behind Metro Pillar 687, Sector 19, Faridabad, Haryana 121002","Sector 19, Faridabad",121002,,,,,,,,,,owner,,,,,,,,,https://www.zigwheels.com/bikes/dealers/bajaj/Faridabad,faridabad,commercial,82,A
Brite Skoda,car_dealership_showroom,"H/224/A, Sector 63, Noida, Uttar Pradesh 201301",Sector 63,201301,,,7031680316,,https://dealers.skoda-auto.co.in/,,,,Skoda car showroom,owner,y,,,0,,,,,https://dealers.skoda-auto.co.in/brite-skoda-showroom-brite-auto-wheels-pvt-ltd-car-dealer-sector-63-noida-82014/Home,noida,commercial,82,A
Crown Honda,car_dealership_showroom,"H-5, H Block, Sector 63, Noida, Uttar Pradesh 201301",Sector 63,201301,,,+91 7669800636,sales@crownhonda.in,https://crownhonda.in/,4.2,5631,,Honda car showroom + authorised service station,owner,y,,,0,,,,,https://dealer.hondacarindia.com/crown-honda-action-automotives-pvt-ltd-car-dealer-sector-63-noida-67147/Home | https://www.justdial.com/Noida/Crown-Honda-Noida-Sector-63/011PXX11-XX11-170328100845-I6D8_BZDET/reviews | https://www.justdial.com/Noida/Crown-Honda-Noida-Sector-63/011PXX11-XX11-170328100845-I6D8_BZDET | https://www.sulekha.com/crown-honda-sector-63-noida-contact-address,noida,commercial,82,A
DSI-Deep Electronics,electronics showroom,"Sohna Road, Gurgaon","Sohna Road, Gurgaon",,,,,,,,,,,owner,,,,,,,,,https://www.justdial.com/Delhi/Dsi-Deep-Electronics/011PX124-X124-100623193018-R1P6_BZDET,gurgaon,commercial,82,A
