name,category,address,locality,pincode,lat,lng,phone,email,website,google_rating,review_count,first_review_year,size_proxy,owner_or_chain,standalone_building,amenity_power_backup,maintenance_rate,outage_keyword_hits,outage_quotes,solar_visible,fm_company,rera_id,source_urls,corridor,icp,score,tier
ABA Cleo County,housing_society,,"Sector 121, Noida",,,,,,,,,,towers=24; floors=28; flats=2638; possession=2018,,no,Full,,0,,,,UPRERAPRJ2369,https://www.99acres.com/aba-cleo-county-sector-121-noida-npxid-r2274 | https://www.squareyards.com/reviews/project/aba-cleo-county/677 | https://www.squareyards.com/noida-residential-property/aba-cleo-county/677/project,noida,society,80,A
Ajnara Homes,housing_society,,"Sector 16B, Greater Noida West",,,,,,,,,,flats=2600; towers=15; floors=26; possession=2017,Ajnara India Limited,false,,,0,[],,,UPRERAPRJ4273,https://www.squareyards.com/greater-noida-residential-property/ajnara-homes/689/project | https://www.investormart.co.in/Project-Ajnara-Homes.php | https://www.99acres.com/ajnara-homes-sector-16-b-greater-noida-npxid-r2234,gn_west,society,65,B
BPTP Park Floor-Two,housing_society,,"Sector 76, Faridabad",,,,,,,,,,flats=672; possession=2012,,,,,0,[],,,,https://www.squareyards.com/blog/high-rise-societies-in-faridabad-dseart,faridabad,society,65,B
Gaur City 1st Avenue,housing_society,,"Sector 4, Greater Noida West",,,,,,,,,,flats=2076; towers=12; floors=23; possession=2014,Gaursons India,false,,,0,[],,,,https://www.gaurcity2.com/gaur-city-1st-avenue/ | https://www.squareyards.com/greater-noida-residential-property/gaur-city-1st-avenue/951/project | https://www.investormart.co.in/Project-Gaur-City-1st-Avenue.php,gn_west,society,65,B
M3M Merlin,housing_society,,"Sector 67, Gurgaon",,,,,,,,,,flats=510; towers=10; floors=21; possession=2017,M3M India,,,,,,,,,https://houssed.com/gurgaon/m3m-group/m3m-merlin-4683,gurgaon,society,65,B
Malibu Towne,housing_society,,"Sector 47, Gurgaon",,,,,,https://malibutowneggn.com/project.html,,,,flats=292; towers=5; possession=2015,Malibu Estate Pvt Ltd,,,,,,,,,https://www.nobroker.in/malibu-towne-sector-47_gurgaon-prjt-5ba00ebd714b5687a7dc8c6b,gurgaon,society,65,B
Saya Zion,housing_society,,"Sector 4, Greater Noida West",,,,,,,,,,flats=760; towers=9; floors=19; possession=2019,Saya Group,false,,,0,[],,,,https://www.addressofchoice.com/saya-zion-sector-4-noida-p620 | https://www.squareyards.com/greater-noida-residential-property/saya-zion/929/project | https://www.possessionready.com/saya-zion-greater-noida-west/,gn_west,society,65,B
3C Lotus Boulevard,housing_society,"Plot No-GH-003, Sector 100, Noida","Sector 100, Noida",,,,,,,,,,towers=29; floors=30; flats=3120,3C Company,no,Full,,0,,,,,https://www.99acres.com/3c-lotus-boulevard-sector-100-noida-npxid-r588 | https://www.squareyards.com/noida-residential-property/3c-lotus-boulevard/554/project | https://www.commonfloor.com/the-3c-lotus-boulevard-noida/povp-ons99o,noida,society,60,B
Gaur City 1 & 2 Township,housing_society,"Gaur City 1 & 2, Noida Extension, Greater Noida West","Noida Extension, Greater Noida West",,,,,,,,,,possession=2015,Gaursons India / Saviour Builders (JV),false,,"Rs 2,500-4,500/month per flat (incl. ~Rs 500 fixed power charge + ~Rs 345/kVA power backup, per resident petition)",4,"['Maintenance charges per flat vary between 2,500-4,500 per month depending on flat size, which includes at least 500+ fixed power charges and at least 345 per kva power backup.', 'The builder collected at least 5kva per flat power load charges (15,000 rs per kva) at the time of possession, but did not setup the required 33kva substation even after 2 years of possession.', 'Residents have been suffering from daily electricity issues including frequent power cuts from NPCL and voltage fluctuation due to incapable power distribution system setup.', ""Petition title: 'Gaur City Noida Extn Worst electricity & Maintenence issues no Gaur support'""]",,,,https://www.change.org/p/gaur-city-1-2-noida-extn-g-noida-worst-electricity-maintenence-issues-no-gaur-support | https://www.gaurcity2.com/blogs/real-estate/gaur-city-township-greater-noida-west/,gn_west,society,60,B
Nirala Estate (Techzone 4),housing_society,,"Techzone 4, Greater Noida West",,,,,,,,,,flats=4028; towers=14; floors=24,Nirala World,false,Full (100% DG for common areas; up to 100% DG per flat available on paid basis),,0,[],,,,https://www.99acres.com/nirala-estate-techzone-4-greater-noida-west-greater-noida-npxid-r5832 | https://www.niralaestate.net.in/nirala/ | https://www.bricksnwall.com/Nirala-Estate,gn_west,society,60,B
