name,category,address,locality,pincode,lat,lng,phone,email,website,google_rating,review_count,first_review_year,size_proxy,owner_or_chain,standalone_building,amenity_power_backup,maintenance_rate,outage_keyword_hits,outage_quotes,solar_visible,fm_company,rera_id,source_urls,corridor,icp,score,tier
ABA Cleo County,housing_society,,"Sector 121, Noida",,,,,,,,,,towers=24; floors=28; flats=2638; possession=2018,,no,Full,,,,,,"UPRERAPRJ2369, UPRERAPRJ2437, UPRERAPRJ5931",https://www.squareyards.com/noida-residential-property/aba-cleo-county/677/project | https://www.squareyards.com/reviews/project/aba-cleo-county/677 | https://www.99acres.com/aba-cleo-county-sector-121-noida-npxid-r2274,noida,society,80,A
Unnati The Aranya,housing_society,"Sector 119, Noida, Uttar Pradesh","Sector 119, Noida",,,,,,,,,,flats=2450; towers=17; possession=2016,Unnati Fortune Group,False,yes - 24hr/100% power backup cited,,,,,,UPRERAPRJ6846; UPRERAPRJ6974,https://www.99acres.com/unnati-the-aranya-sector-119-noida-npxid-r7986 | https://www.squareyards.com/noida-residential-property/unnati-fortune-the-aranya/529/project | https://www.realestateindia.com/projects/the-aranya-by-unnati-fortune-holding-ltd-in-sector-119-noida/,noida,society,80,A
AWHO Sispal Vihar,Housing Society,"Sector 49, Sohna Road, Gurgaon","Sector 49, Sohna Road",,,,,,,,,,flats=1128; towers=17; floors=13; possession=2008,Army Welfare Housing Organisation (AWHO),no,,,,,,,,https://richmanestate.in/sohna-road/ | https://www.ghar.tv/gurgaon/sohna-road/sector-49/,gurgaon,society,65,B
Ajnara Homes,housing_society,"Plot No. 3, Sector-16B, Greater Noida West, Uttar Pradesh","Sector 16B, Greater Noida West",,,,,,,,,,flats=2600; towers=15; floors=26; possession=2017,Ajnara India Limited,false,,,,,,,"UPRERAPRJ4207 (Phase 1), UPRERAPRJ4273 (Phase 2)",https://www.squareyards.com/greater-noida-residential-property/ajnara-homes/689/project | https://www.investormart.co.in/Project-Ajnara-Homes.php | https://www.99acres.com/ajnara-homes-sector-16-b-greater-noida-npxid-r2234,gn_west,society,65,B
Apex The Florus,housing_society,,"Sector 16/18, Vasundhara, Ghaziabad",,,,,,,,,,flats=244; towers=3; floors=23; possession=2018,Apex Buildcon,No,,,0,[],,,UPRERAPRJ12733,https://www.squareyards.com/ghaziabad-residential-property/apex-the-florus/3885/project | https://www.99acres.com/apex-the-florus-vasundhara-ghaziabad-npxid-r43428,ghaziabad,society,65,B
BPTP Park Floor-Two,housing_society,,"Sector 76, Faridabad",,,,,,,,,,flats=672; possession=2012,,,,,0,[],,,,https://www.squareyards.com/blog/high-rise-societies-in-faridabad-dseart,faridabad,society,65,B
Bestech Park View Grand Spa,housing_society,"Sector 81, Gurgaon, Haryana","Sector 81, New Gurgaon",,,,,,,,,,flats=596; towers=10; floors=29; possession=2017,,false,,,1,"""Residents protest 'long' power cuts"" -- Hindustan Times Gurugram coverage of New Gurgaon-area power cuts (general corridor signal, not society-specific)",,,,https://www.squareyards.com/gurgaon-residential-property/bestech-park-view-grand-spa/108/project | https://www.99acres.com/bestech-park-view-grand-spa-sector-81-gurgaon-npxid-r2086 | https://www.pressreader.com/india/hindustan-times-gurugram/20220517/281676848512553,gurgaon,society,65,B
Casa Greens 1,society,"Plot GH-04A, Sector 16, Greater Noida West","Sector 16, Greater Noida West",,,,,,http://www.casagreens.com/casagreen1noida/projects-casa-green-overview.php,,,,flats=843; towers=9; possession=2019,Radhey Krishna / Casa Greens Group,false,,,,,,,,https://www.investormart.co.in/Project-Casa-Greens-1.php | https://houssed.com/greater.noida/radhey-krishna-group/radhey-casa-green-1-4144,gn_west,society,65,B
DLF New Town Heights I,housing_society,"Sector 90, Gurgaon, Haryana","Sector 90, New Gurgaon",,,,,,,,,,flats=1536; towers=13; floors=19; possession=2015,,false,continuous electricity cited among utilities,,1,"""Residents protest 'long' power cuts"" -- Hindustan Times Gurugram coverage of New Gurgaon-area power cuts (general corridor signal, not society-specific)",,,,https://www.squareyards.com/gurgaon-residential-property/dlf-new-town-heights-i/184/project | https://www.pressreader.com/india/hindustan-times-gurugram/20220517/281676848512553,gurgaon,society,65,B
Gaur City 1st Avenue,housing_society,,"Sector 4, Greater Noida West",,,,,,,,,,flats=2076; towers=12; floors=23; possession=2014,Gaursons India,false,,,1,"['""Gaur City Noida Extn Worst electricity & Maintenence issues no Gaur support"" (Change.org petition title, covers Gaur City complexes incl. Noida Extn Sector 4 area, not confirmed 1st Avenue-specific)']",,,UPRERAPRJ6742,https://apnarera.com/rera-approved-projects-and-agents/projects/uttar-pradesh-rera-registered-projects/gautam-buddha-nagar/gaur-city/project-detail.php?project_detail=7th-avenue-gaur-city-rera-registration-number-UPRERAPRJ6695 | https://www.change.org/p/gaur-city-1-2-noida-extn-g-noida-worst-electricity-maintenence-issues-no-gaur-support | https://www.gaurcity2.com/gaur-city-1st-avenue/ | https://www.squareyards.com/greater-noida-residential-property/gaur-city-1st-avenue/951/project | https://www.investormart.co.in/Project-Gaur-City-1st-Avenue.php,gn_west,society,65,B
Gaur City 4th Avenue,housing_society,,"Sector 4, Greater Noida West",,,,,,,,,,flats=1008; possession=2016,Gaursons India,false,,,0,[],,,,https://www.squareyards.com/greater-noida-residential-property/gaur-city-4th-avenue/952/project,gn_west,society,65,B
Gaur City 5th Avenue,housing_society,,"Sector 4, Greater Noida West",,,,,,,,,,flats=1330; towers=11; floors=14; possession=2015,Gaursons India,false,,,0,[],,,,https://www.squareyards.com/greater-noida-residential-property/gaur-city-5th-avenue/863/project | https://www.gaurcity2.com/gaur-city-5th-avenue/,gn_west,society,65,B
JM Orchid,housing_society,"Sector 76, Noida, Uttar Pradesh","Sector 76, Noida",,,,,,,,,,flats=678; towers=9; floors=14; possession=2013,JM Housing,False,,,,,,,,https://www.squareyards.com/noida-residential-property/jm-orchid/712/project | https://www.99acres.com/jm-orchid-sector-76-noida-npxid-r35142 | https://houssed.com/noida/jm-housing/jm-orchid-3924,noida,society,65,B
M3M Merlin,housing_society,"Sector 67, Gurgaon, Haryana 122102 (Golf Course Extension Road)","Sector 67, Gurgaon",,,,,,,,,,flats=510; towers=10; floors=21; possession=2017,M3M India,,,,,,,,,https://www.squareyards.com/gurgaon-residential-property/m3m-merlin/61/project | https://manshagroup.in/m3m-merlin/ | https://houssed.com/gurgaon/m3m-group/m3m-merlin-4683,gurgaon,society,65,B
Mahagun Mosaic,housing_society,,"Sector 4, Vaishali, Ghaziabad",,,,,,,,,,flats=288; towers=5; floors=15; possession=2009,Mahagun India Pvt Ltd,No,,,0,[],,,,https://www.99acres.com/mahagun-mosaic-sector-4-vaishali-ghaziabad-npxid-r37882 | https://www.investormart.co.in/Project-Mahagun-Mosaic.php,ghaziabad,society,65,B
Mahagun Mywoods Phase 3,society,"Plot GH-04, Sector 16C, Noida-Greater Noida Link Road, Greater Noida West","Sector 16C, Greater Noida West",,,,,,,,,,flats=1426; towers=8; possession=2018,Mahagun Group,false,"power backup (common areas, per amenities list)",,,,,,,https://www.360realtors.com/mahagun-mywoods-phase-3-sector-16c-noida-uid-390 | https://www.ghar.tv/mahagun-mywoods-phase-3-greater-noida-west-greater-noida-okiw948726425,gn_west,society,65,B
Malibu Towne,housing_society,"2nd Floor, Shopping Arcade, Malibu Towne, Sector 47, Opp. Good Earth City Centre, Gurgaon, Haryana - 122018","Sector 47, Gurgaon",122018,,,,maliburwa@gmail.com,https://malibutowneggn.com/project.html,,,,flats=292; towers=5; possession=2015,Malibu Estate Pvt Ltd,,,,,,,,,https://malibutowneggn.com/contact.html | https://www.gurgaonfirst.org/pdfs/Final-RWA-List1.pdf | https://www.nobroker.in/malibu-towne-sector-47_gurgaon-prjt-5ba00ebd714b5687a7dc8c6b,gurgaon,society,65,B
OP Floridaa (Florida Housing Society),housing_society,"Sector 82, Faridabad","Sector 82, Greater Faridabad",,,,,,http://www.floridaa.co/,,,,flats=823; towers=8; possession=2018,OP Chains Group,false,yes (listed amenity: 24-hour backup electricity),,0,[],,,244 OF 2017,https://www.squareyards.com/faridabad-residential-property/op-floridaa/87455/project | https://www.realestateindia.com/projects/florida-housing-society-in-sector-82-faridabad-pjid-38050/ | https://houssed.com/faridabad/op-chains-group/op-floridaa-4568,faridabad,society,65,B
Parsvnath Srishti,housing_society,"Sector 93A, Noida, Uttar Pradesh, 201304","Sector 93, Noida",201304,,,,,,,,,"flats=250; towers=21; floors=10; possession=2013 (ready to move, 7 acres)",Parsvnath,no,,,,,,,UPRERAAGT10119 (as listed on source; format looks like an agent/agency RERA ID rather than project ID -- verify before outbound use),https://www.99acres.com/parsvnath-srishti-sector-93-noida-npxid-r28144 | https://www.squareyards.com/noida-residential-property/parsvnath-srishti/753/project,noida,society,65,B
Prateek Wisteria,housing_society,"Off Antariksh Road, Sector 77, Noida, Uttar Pradesh 201304","Sector 77, Noida",201304,,,,,,,,,flats=1860; towers=20; possession=2015,Prateek Group,False,,,,,,,UP-RERA-PRJ-158423,https://www.99acres.com/prateek-wisteria-sector-77-noida-npxid-r2456 | https://www.squareyards.com/noida-residential-property/prateek-wisteria/678/project | https://www.homebazaar.com/prateek-wisteria-sector-77-2011,noida,society,65,B
Saya Zion,housing_society,,"Sector 4, Greater Noida West",,,,,,,,,,flats=760; towers=9; floors=19; possession=2019,Saya Group,false,,,,,,,UPRERAPRJ869,https://www.realestateindia.com/projects/saya-zion-by-saya-buildcon-pvt-ltd-in-sector-4-greater-noida/ | https://www.squareyards.com/greater-noida-residential-property/saya-zion/929/project | https://www.addressofchoice.com/saya-zion-sector-4-noida-p620 | https://www.possessionready.com/saya-zion-greater-noida-west/,gn_west,society,65,B
Vatika Lifestyle Homes,Housing Society,"Sector 83, Gurgaon","Sector 83, New Gurgaon",,,,,,,,,,flats=703; towers=25; floors=15; possession=2015,Vatika Group,no,yes,,,,,,,https://www.99acres.com/vatika-lifestyle-homes-faqs-sector-83-gurgaon-npxid-r276 | https://www.nobroker.in/vatika-lifestyle-homes-sector-83_gurgaon-prjt-5ba00ebd714b5687a7dc8b0e,gurgaon,society,65,B
3C Lotus Boulevard,housing_society,"Plot No-GH-003, Sector 100, Noida","Sector 100, Noida",,,,,,,,,,towers=29; floors=30; flats=3120,3C Company,no,Full,,1,['Resident Google Group thread on 3C Lotus Boulevard discussing DG power backup allocation: residents questioning whether a 2kVA per-flat backup allocation is sufficient to run all appliances.'],,,UPRERAPRJ6450,https://www.squareyards.com/noida-residential-property/3c-lotus-boulevard/554/project | https://groups.google.com/g/3c-lotus-boulevard/c/e3B_otKomEE | https://www.99acres.com/3c-lotus-boulevard-sector-100-noida-npxid-r588 | https://www.commonfloor.com/the-3c-lotus-boulevard-noida/povp-ons99o,noida,society,60,B
Arihant Ambar,society,"Sector 1, Greater Noida West","Sector 1, Greater Noida West",,,,,,https://www.ambarbyarihant.com/,,,,flats=630; towers=4; floors=20,Arihant Infra Realtors / Arihant Buildcon,false,100% power backup for common areas and lifts; 24/7 water supply,,power backup,,,,,https://www.99acres.com/arihant-ambar-sector-1-greater-noida-west-greater-noida-npxid-r35114 | https://www.squareyards.com/greater-noida-residential-property/arihant-ambar/891/project,gn_west,society,60,B
Nirala Estate (Techzone 4),housing_society,,"Techzone 4, Greater Noida West",,,,,,,,,,flats=4028; towers=14; floors=24,Nirala World,false,Full (100% DG for common areas; up to 100% DG per flat available on paid basis),,0,[],,,,https://www.99acres.com/nirala-estate-techzone-4-greater-noida-west-greater-noida-npxid-r5832 | https://www.niralaestate.net.in/nirala/ | https://www.bricksnwall.com/Nirala-Estate,gn_west,society,60,B
